Order_ID,Order_Date,Order_Month_Name,Order_Day,Order_Day_of_Week,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Total_Amount,Order_Value_Flag,Payment_Method,Order_Status,Is_Successful
O0026,2026-01-28,January,28,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,Normal,UPI,Delivered,True
O0027,2026-01-11,January,11,Sunday,C002,Zoya Khan,Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,1,2999,2999,Normal,Cash on Delivery,Shipped,True
O0028,2026-01-07,January,7,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,3,4999,14997,High,UPI,Delivered,True
O0029,2026-01-15,January,15,Thursday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,1,899,899,Normal,Cash on Delivery,Cancelled,False
O0030,2026-03-05,March,5,Thursday,C017,Dev Patel,Ahmedabad,West,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,3,1499,4497,High,Net Banking,Shipped,True
O0031,2026-03-24,March,24,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P014,Data Science Handbook,Books,DataPress,2,899,1798,Normal,Debit Card,Delivered,True
O0032,2026-01-25,January,25,Sunday,C017,Dev Patel,Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,Normal,Credit Card,Shipped,True
O0033,2026-02-13,February,13,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,High,Credit Card,Delivered,True
O0034,2026-01-13,January,13,Tuesday,C010,Mehak Bhat,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,5,1999,9995,High,Credit Card,Delivered,True
O0035,2026-03-01,March,1,Sunday,C003,Rohan Mehta,Mumbai,West,Premium,P007,Jacket,Clothing,NorthStyle,2,2499,4998,High,Net Banking,Cancelled,False
O0036,2026-03-14,March,14,Saturday,C026,Fatima Noor,Srinagar,North,Regular,P016,Atomic Habits,Books,MindReads,5,599,2995,Normal,Debit Card,Shipped,True
O0037,2026-03-30,March,30,Monday,C028,Inaya Khan,Mumbai,West,Regular,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Normal,Credit Card,Delivered,True
O0038,2026-01-25,January,25,Sunday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,1,2999,2999,Normal,Credit Card,Delivered,True
O0039,2026-02-09,February,9,Monday,C016,Hiba Sheikh,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,5,1999,9995,High,Credit Card,Delivered,True
O0040,2026-02-03,February,3,Tuesday,C008,Sara Ahmed,Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,4,1499,5996,High,Cash on Delivery,Delivered,True
O0041,2026-01-04,January,4,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,5,699,3495,High,Cash on Delivery,Delivered,True
O0042,2026-01-29,January,29,Thursday,C012,Aisha Mir,Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,High,Net Banking,Delivered,True
O0043,2026-01-10,January,10,Saturday,C003,Rohan Mehta,Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,4,699,2796,Normal,Net Banking,Delivered,True
O0044,2026-02-27,February,27,Friday,C016,Hiba Sheikh,Srinagar,North,Premium,P019,Cricket Bat,Sports,BatPro,4,2499,9996,High,Credit Card,Delivered,True
O0045,2026-01-14,January,14,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,1,899,899,Normal,Debit Card,Cancelled,False
O0046,2026-01-09,January,9,Friday,C019,Yusuf Dar,Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,2,699,1398,Normal,Cash on Delivery,Delivered,True
O0047,2026-02-15,February,15,Sunday,C005,Kabir Ali,Lucknow,North,New,P004,Smart Watch,Electronics,FitTech,5,3299,16495,High,Credit Card,Cancelled,False
O0048,2026-02-02,February,2,Monday,C020,Priya Menon,Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,2,699,1398,Normal,Debit Card,Cancelled,False
O0049,2026-02-27,February,27,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P006,Hoodie,Clothing,UrbanWear,3,1599,4797,High,Cash on Delivery,Delivered,True
O0050,2026-02-18,February,18,Wednesday,C020,Priya Menon,Chennai,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1,1499,1499,Normal,Credit Card,Shipped,True
O0051,2026-01-01,January,1,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,4,899,3596,High,Net Banking,Delivered,True
O0052,2026-03-10,March,10,Tuesday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,5,2999,14995,High,Debit Card,Delivered,True
O0053,2026-03-19,March,19,Thursday,C021,Aman Kumar,Delhi,North,Regular,P004,Smart Watch,Electronics,FitTech,3,3299,9897,High,Credit Card,Cancelled,False
O0054,2026-01-30,January,30,Friday,C019,Yusuf Dar,Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,3,2499,7497,High,Credit Card,Cancelled,False
O0055,2026-02-23,February,23,Monday,C008,Sara Ahmed,Hyderabad,South,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,High,Net Banking,Cancelled,False
O0056,2026-01-08,January,8,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P018,Football,Sports,SportZone,3,799,2397,Normal,Debit Card,Delivered,True
O0057,2026-03-02,March,2,Monday,C027,Harsh Vardhan,Noida,North,Premium,P008,Sneakers,Clothing,StepUp,2,2999,5998,High,Cash on Delivery,Delivered,True
O0058,2026-02-05,February,5,Thursday,C029,Sameer Qureshi,Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,5,1199,5995,High,UPI,Cancelled,False
O0059,2026-03-09,March,9,Monday,C017,Dev Patel,Ahmedabad,West,Premium,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,High,Net Banking,Delivered,True
O0060,2026-03-15,March,15,Sunday,C007,Aditya Verma,Pune,West,Regular,P006,Hoodie,Clothing,UrbanWear,1,1599,1599,Normal,Debit Card,Cancelled,False
O0061,2026-03-02,March,2,Monday,C020,Priya Menon,Chennai,South,Premium,P002,Mechanical Keyboard,Electronics,KeyPro,2,2499,4998,High,Credit Card,Delivered,True
O0062,2026-03-25,March,25,Wednesday,C009,Arjun Nair,Kochi,South,Regular,P014,Data Science Handbook,Books,DataPress,2,899,1798,Normal,UPI,Delivered,True
O0063,2026-02-25,February,25,Wednesday,C030,Riya Kapoor,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,3,1999,5997,High,Credit Card,Shipped,True
O0064,2026-01-30,January,30,Friday,C007,Aditya Verma,Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,High,Credit Card,Cancelled,False
O0065,2026-03-14,March,14,Saturday,C024,Maryam Khan,Hyderabad,South,Regular,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,High,Cash on Delivery,Delivered,True
O0066,2026-02-05,February,5,Thursday,C004,Ananya Singh,Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,2,1499,2998,Normal,Debit Card,Cancelled,False
O0067,2026-02-22,February,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,1,899,899,Normal,Debit Card,Delivered,True
O0068,2026-02-22,February,22,Sunday,C018,Manya Rao,Bengaluru,South,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,2,1499,2998,Normal,Debit Card,Delivered,True
O0069,2026-01-27,January,27,Tuesday,C028,Inaya Khan,Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,4,3299,13196,High,Debit Card,Delivered,True
O0070,2026-03-18,March,18,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P004,Smart Watch,Electronics,FitTech,2,3299,6598,High,Net Banking,Delivered,True
O0071,2026-01-21,January,21,Wednesday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,1,599,599,Normal,UPI,Delivered,True
O0072,2026-03-21,March,21,Saturday,C029,Sameer Qureshi,Jammu,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,High,Net Banking,Cancelled,False
O0073,2026-03-02,March,2,Monday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3,3299,9897,High,Debit Card,Cancelled,False
O0074,2026-03-19,March,19,Thursday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,4,749,2996,Normal,Credit Card,Delivered,True
O0075,2026-02-08,February,8,Sunday,C027,Harsh Vardhan,Noida,North,Premium,P004,Smart Watch,Electronics,FitTech,4,3299,13196,High,UPI,Delivered,True
O0076,2026-01-03,January,3,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,1,999,999,Normal,Debit Card,Delivered,True
O0077,2026-03-27,March,27,Friday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,3,1999,5997,High,Net Banking,Delivered,True
O0078,2026-02-17,February,17,Tuesday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,5,3299,16495,High,Cash on Delivery,Delivered,True
O0079,2026-01-16,January,16,Friday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,5,699,3495,High,Debit Card,Delivered,True
O0080,2026-03-29,March,29,Sunday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,5,2499,12495,High,Debit Card,Delivered,True
O0081,2026-01-19,January,19,Monday,C022,Alina Shah,Pune,West,New,P018,Football,Sports,SportZone,2,799,1598,Normal,Credit Card,Delivered,True
O0082,2026-01-30,January,30,Friday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,4,749,2996,Normal,Cash on Delivery,Delivered,True
O0083,2026-02-24,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P013,Python Programming,Books,TechBooks,1,749,749,Normal,Debit Card,Shipped,True
O0084,2026-01-27,January,27,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3,3299,9897,High,Credit Card,Delivered,True
O0085,2026-03-01,March,1,Sunday,C028,Inaya Khan,Mumbai,West,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,High,Cash on Delivery,Delivered,True
O0086,2026-01-28,January,28,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,5,1599,7995,High,Debit Card,Delivered,True
O0087,2026-03-28,March,28,Saturday,C006,Ishita Gupta,Bengaluru,South,Premium,P004,Smart Watch,Electronics,FitTech,5,3299,16495,High,Cash on Delivery,Cancelled,False
O0088,2026-01-30,January,30,Friday,C022,Alina Shah,Pune,West,New,P008,Sneakers,Clothing,StepUp,2,2999,5998,High,Debit Card,Cancelled,False
O0089,2026-03-14,March,14,Saturday,C015,Karan Joshi,Chandigarh,North,Regular,P008,Sneakers,Clothing,StepUp,4,2999,11996,High,Credit Card,Shipped,True
O0090,2026-02-07,February,7,Saturday,C022,Alina Shah,Pune,West,New,P019,Cricket Bat,Sports,BatPro,2,2499,4998,High,Cash on Delivery,Shipped,True
O0091,2026-01-01,January,1,Thursday,C002,Zoya Khan,Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,High,Credit Card,Delivered,True
O0092,2026-02-21,February,21,Saturday,C027,Harsh Vardhan,Noida,North,Premium,P006,Hoodie,Clothing,UrbanWear,2,1599,3198,High,Debit Card,Delivered,True
O0093,2026-02-08,February,8,Sunday,C012,Aisha Mir,Delhi,North,Premium,P016,Atomic Habits,Books,MindReads,3,599,1797,Normal,Debit Card,Delivered,True
O0094,2026-01-17,January,17,Saturday,C011,Vivaan Kapoor,Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,4,2499,9996,High,Net Banking,Cancelled,False
O0095,2026-02-25,February,25,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,High,Cash on Delivery,Delivered,True
O0096,2026-02-07,February,7,Saturday,C002,Zoya Khan,Delhi,North,Regular,P013,Python Programming,Books,TechBooks,1,749,749,Normal,Net Banking,Shipped,True
O0097,2026-02-24,February,24,Tuesday,C004,Ananya Singh,Jammu,North,Regular,P006,Hoodie,Clothing,UrbanWear,2,1599,3198,High,Cash on Delivery,Delivered,True
O0098,2026-02-03,February,3,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1,1599,1599,Normal,Credit Card,Delivered,True
O0099,2026-01-17,January,17,Saturday,C010,Mehak Bhat,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,2,1499,2998,Normal,UPI,Shipped,True
O0100,2026-03-19,March,19,Thursday,C003,Rohan Mehta,Mumbai,West,Premium,P008,Sneakers,Clothing,StepUp,4,2999,11996,High,Credit Card,Delivered,True
O0101,2026-02-24,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,1,699,699,Normal,UPI,Delivered,True
O0102,2026-01-20,January,20,Tuesday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,3,699,2097,Normal,Credit Card,Shipped,True
O0103,2026-03-03,March,3,Tuesday,C022,Alina Shah,Pune,West,New,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Normal,Debit Card,Delivered,True
O0104,2026-01-05,January,5,Monday,C011,Vivaan Kapoor,Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,3,1599,4797,High,Debit Card,Shipped,True
O0105,2026-01-22,January,22,Thursday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,4,599,2396,Normal,UPI,Delivered,True
O0106,2026-01-02,January,2,Friday,C001,Aarav Sharma,Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,1,3499,3499,High,Net Banking,Delivered,True
O0107,2026-01-26,January,26,Monday,C021,Aman Kumar,Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,2,899,1798,Normal,Cash on Delivery,Delivered,True
O0108,2026-01-04,January,4,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1,1999,1999,Normal,Net Banking,Delivered,True
O0109,2026-03-17,March,17,Tuesday,C023,Nikhil Sood,Chandigarh,North,Premium,P019,Cricket Bat,Sports,BatPro,5,2499,12495,High,Debit Card,Cancelled,False
O0110,2026-01-05,January,5,Monday,C007,Aditya Verma,Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Normal,UPI,Delivered,True
O0111,2026-03-14,March,14,Saturday,C001,Aarav Sharma,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,4,1499,5996,High,Debit Card,Delivered,True
O0112,2026-01-15,January,15,Thursday,C012,Aisha Mir,Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,4,1599,6396,High,UPI,Delivered,True
O0113,2026-03-22,March,22,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P014,Data Science Handbook,Books,DataPress,1,899,899,Normal,UPI,Delivered,True
O0114,2026-02-12,February,12,Thursday,C019,Yusuf Dar,Srinagar,North,New,P011,Air Fryer,Home & Kitchen,CookSmart,5,4999,24995,High,Credit Card,Delivered,True
O0115,2026-01-23,January,23,Friday,C014,Sana Malik,Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2,2499,4998,High,Credit Card,Delivered,True
O0116,2026-02-19,February,19,Thursday,C025,Reyansh Jain,Kolkata,East,New,P010,Electric Kettle,Home & Kitchen,KitchenPro,1,1499,1499,Normal,Net Banking,Delivered,True
O0117,2026-02-21,February,21,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,3,999,2997,Normal,Cash on Delivery,Shipped,True
O0118,2026-03-09,March,9,Monday,C025,Reyansh Jain,Kolkata,East,New,P016,Atomic Habits,Books,MindReads,4,599,2396,Normal,Credit Card,Delivered,True
O0119,2026-02-03,February,3,Tuesday,C015,Karan Joshi,Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2,2499,4998,High,Debit Card,Delivered,True
O0120,2026-01-21,January,21,Wednesday,C013,Rahul Das,Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1,1999,1999,Normal,Cash on Delivery,Cancelled,False
